Unnamed: 0,breed,image_path,annotation_path,xmin,ymin,xmax,ymax
0,chihuahua,images/Images/n02085620-Chihuahua/n02085620_10074.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_10074,25,10,276,498
1,chihuahua,images/Images/n02085620-Chihuahua/n02085620_10131.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_10131,49,9,393,493
2,chihuahua,images/Images/n02085620-Chihuahua/n02085620_10621.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_10621,142,43,335,250
3,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1073.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1073,0,27,312,498
4,chihuahua,images/Images/n02085620-Chihuahua/n02085620_10976.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_10976,90,104,242,452
5,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11140.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11140,17,38,451,253
6,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11238.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11238,39,191,145,383
7,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11258.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11258,76,30,363,375
8,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11337.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11337,59,37,229,179
9,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11477.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11477,317,95,558,459
10,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1152.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1152,391,111,437,167
11,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11696.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11696,211,0,696,516
12,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11818.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11818,121,90,302,343
13,chihuahua,images/Images/n02085620-Chihuahua/n02085620_11948.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_11948,0,16,461,436
14,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1205.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1205,146,0,350,239
15,chihuahua,images/Images/n02085620-Chihuahua/n02085620_12101.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_12101,5,4,350,252
16,chihuahua,images/Images/n02085620-Chihuahua/n02085620_12334.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_12334,159,186,250,330
17,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1235.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1235,194,111,275,299
18,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1271.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1271,19,3,324,350
19,chihuahua,images/Images/n02085620-Chihuahua/n02085620_12718.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_12718,26,42,304,487
20,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1298.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1298,151,94,438,230
21,chihuahua,images/Images/n02085620-Chihuahua/n02085620_13151.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_13151,176,29,379,333
22,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1321.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1321,111,42,248,314
23,chihuahua,images/Images/n02085620-Chihuahua/n02085620_13383.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_13383,156,242,334,498
24,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1346.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1346,1,8,432,316
25,chihuahua,images/Images/n02085620-Chihuahua/n02085620_13964.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_13964,96,133,373,495
26,chihuahua,images/Images/n02085620-Chihuahua/n02085620_14252.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_14252,166,110,346,248
27,chihuahua,images/Images/n02085620-Chihuahua/n02085620_14413.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_14413,142,123,546,850
28,chihuahua,images/Images/n02085620-Chihuahua/n02085620_14516.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_14516,51,2,487,478
29,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1455.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1455,60,153,331,498
30,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1492.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1492,58,143,190,332
31,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1502.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1502,51,13,418,331
32,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1558.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1558,0,6,327,493
33,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1569.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1569,24,10,277,273
34,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1617.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1617,2,6,356,237
35,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1620.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1620,25,0,465,374
36,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1765.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1765,55,85,327,437
37,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1816.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1816,0,14,225,325
38,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1862.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1862,152,107,228,247
39,chihuahua,images/Images/n02085620-Chihuahua/n02085620_1916.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_1916,8,7,456,397
40,chihuahua,images/Images/n02085620-Chihuahua/n02085620_199.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_199,65,50,249,404
41,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2053.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2053,176,73,441,366
42,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2188.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2188,46,98,327,498
43,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2204.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2204,189,107,263,212
44,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2208.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2208,178,144,231,249
45,chihuahua,images/Images/n02085620-Chihuahua/n02085620_242.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_242,113,45,368,486
46,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2479.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2479,40,16,260,239
47,chihuahua,images/Images/n02085620-Chihuahua/n02085620_2507.jpg,../input/stanford-dogs-dataset/annotations/Annotation/n02085620-Chihuahua/n02085620_2507,79,35,324,322
